accuracy,loss,val_accuracy,val_loss,learning_rate
0.9652979373931885,0.163700133562088,0.9577648043632507,0.17283697426319122,0.0010000000474974513
0.9661274552345276,0.13979074358940125,0.9577648043632507,0.24001887440681458,0.0010000000474974513
0.9661274552345276,0.13843537867069244,0.9577648043632507,0.14315097033977509,0.0010000000474974513
0.9661274552345276,0.11462712287902832,0.9577648043632507,0.12328483909368515,0.0010000000474974513
0.9661274552345276,0.10180223733186722,0.9577648043632507,0.11745817959308624,0.0010000000474974513
0.9661274552345276,0.09422887116670609,0.9577648043632507,0.1217215433716774,0.0010000000474974513
0.9661274552345276,0.08974654972553253,0.9577648043632507,0.10659056156873703,0.0010000000474974513
0.9659892320632935,0.08680694550275803,0.9577648043632507,0.10252320021390915,0.0010000000474974513
0.9659892320632935,0.0836494043469429,0.9577648043632507,0.09993910044431686,0.0010000000474974513
0.9657127261161804,0.08321475982666016,0.9577648043632507,0.0982675552368164,0.0010000000474974513
0.9652979373931885,0.08009903877973557,0.9577648043632507,0.09726816415786743,0.0010000000474974513
0.9665422439575195,0.0792837142944336,0.9577648043632507,0.09507161378860474,0.0010000000474974513
0.9661274552345276,0.07819132506847382,0.9577648043632507,0.09894055873155594,0.0010000000474974513
0.9659892320632935,0.07641079276800156,0.9577648043632507,0.09345530718564987,0.0010000000474974513
0.9673717617988586,0.0754825547337532,0.9577648043632507,0.09000562876462936,0.0010000000474974513
0.9658509492874146,0.07493271678686142,0.9577648043632507,0.08961129933595657,0.0010000000474974513
0.9666804671287537,0.07337890565395355,0.9577648043632507,0.09070627391338348,0.0010000000474974513
0.9673717617988586,0.07276341319084167,0.9577648043632507,0.08838988095521927,0.0010000000474974513
0.9675100445747375,0.07129961252212524,0.9571149945259094,0.09340786188840866,0.0010000000474974513
0.9673717617988586,0.07149738818407059,0.9577648043632507,0.08822914212942123,0.0010000000474974513
0.9676482677459717,0.06975450366735458,0.9571149945259094,0.08489827811717987,0.0010000000474974513
0.9676482677459717,0.06836017966270447,0.9571149945259094,0.0843830555677414,0.0010000000474974513
0.9682012796401978,0.06791626662015915,0.9584145545959473,0.08305098116397858,0.0010000000474974513
0.9676482677459717,0.06872013211250305,0.9584145545959473,0.0837370827794075,0.0010000000474974513
0.9684777855873108,0.06793398410081863,0.9590643048286438,0.08171830326318741,0.0010000000474974513
0.9694455862045288,0.0659029632806778,0.9590643048286438,0.08151031285524368,0.0010000000474974513
0.9688925743103027,0.06589768081903458,0.9597141146659851,0.08475717157125473,0.0010000000474974513
0.9702751040458679,0.061663586646318436,0.9590643048286438,0.08145179599523544,0.0010000000474974513
0.9690308570861816,0.06712306290864944,0.9577648043632507,0.08364381641149521,0.0010000000474974513
0.9694455862045288,0.0649939551949501,0.9590643048286438,0.08278954774141312,0.0010000000474974513
0.9699985980987549,0.06395019590854645,0.9597141146659851,0.09400882571935654,0.0010000000474974513
0.9706898927688599,0.0588749423623085,0.9577648043632507,0.09089983999729156,0.0005000000237487257
0.9706898927688599,0.058681052178144455,0.9590643048286438,0.08413893729448318,0.0005000000237487257
0.9704133868217468,0.05885746702551842,0.9597141146659851,0.08275683969259262,0.0005000000237487257
0.9709663987159729,0.05840103700757027,0.961013674736023,0.08057602494955063,0.0005000000237487257
0.9726254940032959,0.05822223797440529,0.9616634249687195,0.08072508871555328,0.0005000000237487257
0.97276371717453,0.05747783184051514,0.961013674736023,0.08050272613763809,0.0005000000237487257
0.972487211227417,0.057772211730480194,0.9636127352714539,0.07969171553850174,0.0005000000237487257
0.972072422504425,0.05735281854867935,0.9616634249687195,0.07971382886171341,0.0005000000237487257
0.972072422504425,0.05679211765527725,0.9616634249687195,0.0786634087562561,0.0005000000237487257
0.9729019999504089,0.05771041661500931,0.9616634249687195,0.07913719862699509,0.0005000000237487257
0.973455011844635,0.05694375932216644,0.9616634249687195,0.08076868951320648,0.0005000000237487257
0.973178505897522,0.05610387772321701,0.962313175201416,0.07997646182775497,0.0005000000237487257
0.9719341993331909,0.05704312026500702,0.961013674736023,0.08053175359964371,0.0005000000237487257
0.9726254940032959,0.055495280772447586,0.9675113558769226,0.0804944783449173,0.0005000000237487257
0.9745610356330872,0.05241570621728897,0.961013674736023,0.09178589284420013,0.0002500000118743628
0.9738697409629822,0.05342361703515053,0.9616634249687195,0.09157150238752365,0.0002500000118743628
0.9742845296859741,0.05378473177552223,0.962313175201416,0.09312852472066879,0.0002500000118743628
0.9748375415802002,0.05296379327774048,0.9616634249687195,0.08793214708566666,0.0002500000118743628
0.9730402231216431,0.05164745822548866,0.9603638648986816,0.08677379786968231,0.0002500000118743628
0.973178505897522,0.051619891077280045,0.961013674736023,0.08689942210912704,0.0001250000059371814
0.9742845296859741,0.05207957699894905,0.962313175201416,0.08616985380649567,0.0001250000059371814
0.9755288362503052,0.0512290894985199,0.9616634249687195,0.08568641543388367,0.0001250000059371814
0.9766348600387573,0.04964778572320938,0.9616634249687195,0.08632747828960419,0.0001250000059371814
0.9740080237388611,0.04994012415409088,0.961013674736023,0.08565094321966171,0.0001250000059371814
0.9758053421974182,0.05009270831942558,0.962313175201416,0.08352066576480865,9.999999747378752e-05
0.9756670594215393,0.05085678771138191,0.961013674736023,0.08517178148031235,9.999999747378752e-05
0.9774643778800964,0.0488048680126667,0.9636127352714539,0.08476851135492325,9.999999747378752e-05
0.9766348600387573,0.049941305071115494,0.9636127352714539,0.08560452610254288,9.999999747378752e-05
0.9773261547088623,0.049130748957395554,0.9629629850387573,0.0841042548418045,9.999999747378752e-05
0.9767731428146362,0.049761030822992325,0.9636127352714539,0.08569552004337311,9.999999747378752e-05
0.9763583540916443,0.04983292520046234,0.962313175201416,0.08387364447116852,9.999999747378752e-05
0.9760818481445312,0.0490766204893589,0.9642624855041504,0.08509369939565659,9.999999747378752e-05
0.9767731428146362,0.049652133136987686,0.9642624855041504,0.08494037389755249,9.999999747378752e-05
0.9770496487617493,0.04901256412267685,0.9642624855041504,0.0854121744632721,9.999999747378752e-05
0.974422812461853,0.04966748133301735,0.9642624855041504,0.08487851917743683,9.999999747378752e-05
0.9773261547088623,0.0488949716091156,0.9642624855041504,0.08338998258113861,9.999999747378752e-05
0.9766348600387573,0.0491686575114727,0.9636127352714539,0.08412303030490875,9.999999747378752e-05
0.9769113659858704,0.0501982644200325,0.9629629850387573,0.08658672869205475,9.999999747378752e-05
0.9766348600387573,0.04874236881732941,0.9642624855041504,0.08507153391838074,9.999999747378752e-05
